date,value
2006-11,26.9276
2006-12,26.0728
2007-01,27.2938
2007-02,30.7637
2007-03,31.795
2007-04,30.6286
2007-05,29.389
2007-06,28.1861
2007-07,27.0935
2007-08,25.5849
2007-09,25.9551
2007-10,27.4026
2007-11,29.4476
2007-12,27.9058
2008-01,26.3105
2008-02,29.5303
2008-03,31.4789
2008-04,31.5058
2008-05,30.75
2008-06,28.5456
2008-07,26.2356
2008-08,25.7175
2008-09,26.3822
2008-10,27.3714
2008-11,28.0678
2008-12,28.2437
2009-01,27.2773
2009-02,31.5443
2009-03,32.4731
2009-04,30.9456
2009-05,30.6629
2009-06,28.3439
2009-07,26.6168
2009-08,26.0456
2009-09,26.6581
2009-10,27.5746
2009-11,28.0494
2009-12,27.7707
2010-01,28.5206
2010-02,31.7101
2010-03,32.6508
2010-04,32.0739
2010-05,30.3715
2010-06,28.1133
2010-07,26.8253
2010-08,26.4944
2010-09,26.2488
2010-10,27.1991
2010-11,28.3608
2010-12,27.3427
2011-01,27.6306
2011-02,31.0312
2011-03,32.1261
2011-04,32.0661
2011-05,30.864
2011-06,28.7736
2011-07,26.7251
2011-08,25.8776
2011-09,26.4531
2011-10,27.2378
2011-11,28.8544
2011-12,26.7001
2012-01,27.8778
2012-02,30.654
2012-03,32.2715
2012-04,30.9274
2012-05,29.2914
2012-06,27.9028
2012-07,26.4083
2012-08,26.2419
2012-09,26.4607
2012-10,27.477
2012-11,29.9246
2012-12,29.4804
2013-01,29.5876
2013-02,31.2186
2013-03,31.7124
2013-04,30.719
2013-05,29.5261
2013-06,28.3694
2013-07,26.4649
2013-08,26.0741
2013-09,26.5162
2013-10,27.627
2013-11,29.4432
2013-12,27.809
2014-01,28.7804
2014-02,30.6585
2014-03,31.8712
2014-04,31.2599
2014-05,30.0242
2014-06,28.9814
2014-07,27.6874
2014-08,26.2022
2014-09,26.165
2014-10,27.5483
2014-11,29.0628
2014-12,28.1995
2015-01,27.5129
2015-02,31.0838
2015-03,31.4282
2015-04,32.0788
2015-05,31.1175
2015-06,29.2072
2015-07,27.4161
2015-08,26.3469
2015-09,26.7482
2015-10,28.0394
2015-11,28.9788
2015-12,27.4151
2016-01,28.656
2016-02,31.2464
2016-03,32.4687
2016-04,32.3146
2016-05,30.2876
2016-06,28.1344
2016-07,26.704
2016-08,26.4509
2016-09,26.4849
2016-10,28.0414
2016-11,29.9374
2016-12,29.116
2017-01,28.7285
2017-02,31.1439
2017-03,33.6087
2017-04,32.3917
2017-05,30.4669
2017-06,28.0143
2017-07,26.7755
2017-08,26.2833
2017-09,26.7967
2017-10,28.4856
2017-11,29.7739
2017-12,28.9613
2018-01,27.9454
2018-02,31.3826
2018-03,32.1737
2018-04,31.7018
2018-05,29.6122
2018-06,28.3083
2018-07,26.7595
2018-08,26.3284
2018-09,26.5025
2018-10,27.5759
2018-11,29.2417
2018-12,27.4694
2019-01,29.0985
2019-02,31.3499
2019-03,32.7257
2019-04,32.2572
2019-05,30.7727
2019-06,28.7383
2019-07,27.0203
2019-08,26.7734
2019-09,26.7512
2019-10,27.1472
2019-11,29.1118
2019-12,27.9829
2020-01,28.2665
2020-02,30.302
2020-03,33.0132
2020-04,31.6794
2020-05,30.4101
2020-06,28.0851
2020-07,26.6915
2020-08,26.4328
2020-09,26.3899
2020-10,27.5681
2020-11,29.041
2020-12,29.2964
2021-01,28.889
2021-02,30.533
2021-03,32.4398
2021-04,32.8272
2021-05,31.1884
2021-06,28.5462
2021-07,27.0106
2021-08,26.2841
2021-09,26.9204
2021-10,28.5931
2021-11,30.1725
2021-12,28.2737
2022-01,28.3527
2022-02,30.9853
2022-03,32.5817
2022-04,30.6767
2022-05,29.6472
2022-06,27.9226
2022-07,26.3215
2022-08,25.9804
2022-09,25.7822
2022-10,27.3757
2022-11,28.1506
2022-12,27.4034
2023-01,27.7591
2023-02,30.6518
2023-03,31.2413
2023-04,30.9601
2023-05,30.5046
2023-06,28.2282
2023-07,27.0441
2023-08,26.4762
2023-09,27.1796
2023-10,28.1395
2023-11,30.075
2023-12,27.8789
